,type,region_name,total_area,bathrooms,bedrooms,iptu,parking_slots,price
0,Apartamento,Brooklin,48,1,1,190,1,990000
1,Apartamento,Brooklin,396,2,4,1500,3,3600000
2,Apartamento,Brooklin,77,1,2,180,1,767000
3,Apartamento,Brooklin,204,4,4,1750,4,3650000
4,Casa,Brooklin,300,2,3,1334,4,2125000
5,Casa,Brooklin,200,3,3,700,3,3175000
6,Apartamento,Brooklin,172,3,3,1250,3,1550000
7,Casa,Brooklin,192,1,3,0,1,1500000
8,Apartamento,Brooklin,258,4,4,192,4,3825000
9,Apartamento,Brooklin,234,4,4,833,3,6300000
10,Casa,Brooklin,401,5,12,1659,5,2120000
11,Casa,Brooklin,220,4,4,414,0,1800000
12,Apartamento,Brooklin,40,1,1,157,1,550000
13,Apartamento,Brooklin,167,5,3,1100,3,2600000
14,Apartamento,Brooklin,46,2,1,167,1,720000
15,Apartamento,Brooklin,58,1,1,167,2,1070000
16,Apartamento,Brooklin,85,1,3,170,1,850000
17,Casa,Brooklin,110,3,2,164,1,1350000
18,Apartamento,Brooklin,77,3,2,334,2,1015000
19,Apartamento,Brooklin,165,4,4,0,3,3800000
20,Apartamento,Brooklin,65,2,2,250,2,1485000
21,Apartamento,Brooklin,81,2,3,0,1,1600000
22,Apartamento,Brooklin,66,2,2,350,1,1475000
23,Apartamento,Brooklin,205,4,3,1500,4,3300000
24,Apartamento,Brooklin,84,2,2,311,1,820000
25,Apartamento,Brooklin,56,1,1,250,1,860000
26,Apartamento,Brooklin,80,2,2,409,2,1725000
27,Apartamento,Brooklin,27,1,1,2,0,330000
28,Apartamento,Brooklin,126,3,2,940,2,1400000
29,Apartamento,Brooklin,185,3,3,834,2,3299000
30,Apartamento,Brooklin,60,1,1,240,1,590000
31,Casa,Brooklin,411,4,4,2070,2,3600000
32,Apartamento,Brooklin,24,1,1,45,0,450000
33,Apartamento,Brooklin,33,1,1,110,1,664000
34,Apartamento,Brooklin,410,5,4,0,5,8070000
35,Apartamento,Brooklin,55,1,1,275,1,849000
36,Apartamento,Brooklin,54,1,1,560,1,445000
37,Apartamento,Brooklin,113,3,4,375,2,1500000
38,Apartamento,Brooklin,42,1,1,42,1,870000
39,Apartamento,Brooklin,60,1,2,180,1,850000
40,Apartamento,Brooklin,123,2,2,397,2,1950000
41,Casa,Brooklin,90,1,2,160,1,850000
42,Apartamento,Brooklin,239,5,3,1775,4,4090000
43,Apartamento,Brooklin,105,4,2,800,2,1649000
44,Apartamento,Brooklin,98,3,3,202,1,940000
45,Apartamento,Brooklin,72,2,3,100,1,704000
46,Apartamento,Brooklin,209,4,3,1900,4,3000000
47,Apartamento,Brooklin,205,3,4,1081,4,1965000
48,Apartamento,Brooklin,30,1,1,88,0,500000
49,Apartamento,Brooklin,42,2,1,0,1,495000
50,Apartamento,Brooklin,141,4,3,800,2,3000000
51,Apartamento,Brooklin,85,3,2,642,2,2190000
52,Apartamento,Brooklin,128,3,3,560,2,2150000
53,Apartamento,Brooklin,65,2,2,167,1,1400000
54,Apartamento,Brooklin,41,1,1,109,1,740000
55,Apartamento,Brooklin,21,1,1,84,0,500000
56,Apartamento,Brooklin,38,1,1,0,0,535000
57,Apartamento,Brooklin,26,1,1,250,0,1800000
58,Apartamento,Brooklin,167,4,3,1084,3,5025000
59,Apartamento,Brooklin,42,1,1,0,1,470000
60,Apartamento,Brooklin,236,4,4,1417,3,3520000
61,Apartamento,Brooklin,105,2,2,400,2,2915000
62,Apartamento,Brooklin,60,1,1,222,0,515000
63,Apartamento,Brooklin,141,4,3,359,2,2920000
64,Apartamento,Brooklin,41,1,1,100,1,790000
65,Apartamento,Brooklin,66,2,1,415,1,1280000
66,Apartamento,Brooklin,166,5,3,1152,2,4280000
67,Apartamento,Brooklin,50,1,2,49,1,640000
68,Apartamento,Brooklin,90,1,2,112,0,847000
69,Apartamento,Brooklin,98,2,3,0,1,860000
70,Apartamento,Brooklin,117,3,3,279,1,1100000
